Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,F:System.Windows.Forms.MessageBoxIcon.Question,,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,F:System.Windows.Forms.MessageBoxButtons.YesNo,,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,T:System.Windows.Forms.MessageBox,,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,T:System.Windows.Forms.DialogResult,,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,681,16,"M:System.Windows.Forms.MessageBox.Show(System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"DialogResult result = MessageBox.Show(                      ""Unsaved changes will be lost."",                      ""Confirm close"",                      MessageBoxButtons.YesNo,                      MessageBoxIcon.Question);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,668,16,P:System.Windows.Forms.FileDialog.FileName,,,,,currentFilePath = saveFileDialog.FileName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,666,12,T:System.Windows.Forms.DialogResult,,,,,if (saveFileDialog.ShowDialog() == DialogResult.OK)              {                  currentFilePath = saveFileDialog.FileName;                  SaveCreature();              }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,CreatureXmlEditor.csproj,File,CreatureEditForm.cs,666,12,T:System.Windows.Forms.DialogResult,,,,,if (saveFileDialog.ShowDialog() == DialogResult.OK)              {                  currentFilePath = saveFileDialog.FileName;                  SaveCreature();              }
